C800  29 EF               A:74 X:00 Y:00 SR:64 SP:FB CYC:222
C802  C9 64               A:64 X:00 Y:00 SR:64 SP:FB CYC:224
C804  F0 04               A:64 X:00 Y:00 SR:67 SP:FB CYC:226
C80A  EA                  A:64 X:00 Y:00 SR:67 SP:FB CYC:229
C80B  A9 80               A:64 X:00 Y:00 SR:67 SP:FB CYC:231
C80D  85 01               A:80 X:00 Y:00 SR:E5 SP:FB CYC:233
C80F  24 01               A:80 X:00 Y:00 SR:E5 SP:FB CYC:236
C811  F8                  A:80 X:00 Y:00 SR:A5 SP:FB CYC:239
C812  A9 00               A:80 X:00 Y:00 SR:AD SP:FB CYC:241
C814  38                  A:00 X:00 Y:00 SR:2F SP:FB CYC:243
C815  08                  A:00 X:00 Y:00 SR:2F SP:FB CYC:245
C816  68                  A:00 X:00 Y:00 SR:2F SP:FA CYC:248
C817  29 EF               A:3F X:00 Y:00 SR:2D SP:FB CYC:252
C819  C9 2F               A:2F X:00 Y:00 SR:2D SP:FB CYC:254
C81B  F0 04               A:2F X:00 Y:00 SR:2F SP:FB CYC:256
C821  EA                  A:2F X:00 Y:00 SR:2F SP:FB CYC:259
C822  A9 FF               A:2F X:00 Y:00 SR:2F SP:FB CYC:261
C824  48                  A:FF X:00 Y:00 SR:AD SP:FB CYC:263
C825  28                  A:FF X:00 Y:00 SR:AD SP:FA CYC:266
C826  D0 09               A:FF X:00 Y:00 SR:EF SP:FB CYC:270
C828  10 07               A:FF X:00 Y:00 SR:EF SP:FB CYC:272
C82A  50 05               A:FF X:00 Y:00 SR:EF SP:FB CYC:274
C82C  90 03               A:FF X:00 Y:00 SR:EF SP:FB CYC:276
C82E  4C 35 C8            A:FF X:00 Y:00 SR:EF SP:FB CYC:278
C835  EA                  A:FF X:00 Y:00 SR:EF SP:FB CYC:281
C836  A9 04               A:FF X:00 Y:00 SR:EF SP:FB CYC:283
C838  48                  A:04 X:00 Y:00 SR:6D SP:FB CYC:285
C839  28                  A:04 X:00 Y:00 SR:6D SP:FA CYC:288
C83A  F0 09               A:04 X:00 Y:00 SR:24 SP:FB CYC:292
C83C  30 07               A:04 X:00 Y:00 SR:24 SP:FB CYC:294
C83E  70 05               A:04 X:00 Y:00 SR:24 SP:FB CYC:296
C840  B0 03               A:04 X:00 Y:00 SR:24 SP:FB CYC:298
C842  4C 49 C8            A:04 X:00 Y:00 SR:24 SP:FB CYC:300
C849  EA                  A:04 X:00 Y:00 SR:24 SP:FB CYC:303
C84A  F8                  A:04 X:00 Y:00 SR:24 SP:FB CYC:305
C84B  A9 FF               A:04 X:00 Y:00 SR:2C SP:FB CYC:307
C84D  85 01               A:FF X:00 Y:00 SR:AC SP:FB CYC:309
C84F  24 01               A:FF X:00 Y:00 SR:AC SP:FB CYC:312
C851  18                  A:FF X:00 Y:00 SR:EC SP:FB CYC:315
C852  A9 00               A:FF X:00 Y:00 SR:EC SP:FB CYC:317
C854  48                  A:00 X:00 Y:00 SR:6E SP:FB CYC:319
C855  A9 FF               A:00 X:00 Y:00 SR:6E SP:FA CYC:322
C857  68                  A:FF X:00 Y:00 SR:EC SP:FA CYC:324
C858  D0 09               A:00 X:00 Y:00 SR:6E SP:FB CYC:328
C85A  30 07               A:00 X:00 Y:00 SR:6E SP:FB CYC:330
C85C  50 05               A:00 X:00 Y:00 SR:6E SP:FB CYC:332
C85E  B0 03               A:00 X:00 Y:00 SR:6E SP:FB CYC:334
C860  4C 67 C8            A:00 X:00 Y:00 SR:6E SP:FB CYC:336
C867  EA                  A:00 X:00 Y:00 SR:6E SP:FB CYC:339
C868  A9 00               A:00 X:00 Y:00 SR:6E SP:FB CYC:341
C86A  85 01               A:00 X:00 Y:00 SR:6E SP:FB CYC:343
C86C  24 01               A:00 X:00 Y:00 SR:6E SP:FB CYC:346
C86E  38                  A:00 X:00 Y:00 SR:2E SP:FB CYC:349
C86F  A9 FF               A:00 X:00 Y:00 SR:2F SP:FB CYC:351
C871  48                  A:FF X:00 Y:00 SR:AD SP:FB CYC:353
C872  A9 00               A:FF X:00 Y:00 SR:AD SP:FA CYC:356
C874  68                  A:00 X:00 Y:00 SR:2F SP:FA CYC:358
C875  F0 09               A:FF X:00 Y:00 SR:AD SP:FB CYC:362
C877  10 07               A:FF X:00 Y:00 SR:AD SP:FB CYC:364
C879  70 05               A:FF X:00 Y:00 SR:AD SP:FB CYC:366
C87B  90 03               A:FF X:00 Y:00 SR:AD SP:FB CYC:368
C87D  4C 84 C8            A:FF X:00 Y:00 SR:AD SP:FB CYC:370
C884  60                  A:FF X:00 Y:00 SR:AD SP:FB CYC:373
C603  20 85 C8            A:FF X:00 Y:00 SR:AD SP:FD CYC:379
C885  EA                  A:FF X:00 Y:00 SR:AD SP:FB CYC:385
C886  18                  A:FF X:00 Y:00 SR:AD SP:FB CYC:387
C887  A9 FF               A:FF X:00 Y:00 SR:AC SP:FB CYC:389
C889  85 01               A:FF X:00 Y:00 SR:AC SP:FB CYC:391
C88B  24 01               A:FF X:00 Y:00 SR:AC SP:FB CYC:394
C88D  A9 55               A:FF X:00 Y:00 SR:EC SP:FB CYC:397
C88F  09 AA               A:55 X:00 Y:00 SR:6C SP:FB CYC:399
C891  B0 0B               A:FF X:00 Y:00 SR:EC SP:FB CYC:401
C893  10 09               A:FF X:00 Y:00 SR:EC SP:FB CYC:403
C895  C9 FF               A:FF X:00 Y:00 SR:EC SP:FB CYC:405
C897  D0 05               A:FF X:00 Y:00 SR:6F SP:FB CYC:407
C899  50 03               A:FF X:00 Y:00 SR:6F SP:FB CYC:409
C89B  4C A2 C8            A:FF X:00 Y:00 SR:6F SP:FB CYC:411
C8A2  EA                  A:FF X:00 Y:00 SR:6F SP:FB CYC:414
C8A3  38                  A:FF X:00 Y:00 SR:6F SP:FB CYC:416
C8A4  B8                  A:FF X:00 Y:00 SR:6F SP:FB CYC:418
C8A5  A9 00               A:FF X:00 Y:00 SR:2F SP:FB CYC:420
C8A7  09 00               A:00 X:00 Y:00 SR:2F SP:FB CYC:422
C8A9  D0 09               A:00 X:00 Y:00 SR:2F SP:FB CYC:424
C8AB  70 07               A:00 X:00 Y:00 SR:2F SP:FB CYC:426
C8AD  90 05               A:00 X:00 Y:00 SR:2F SP:FB CYC:428
C8AF  30 03               A:00 X:00 Y:00 SR:2F SP:FB CYC:430
C8B1  4C B8 C8            A:00 X:00 Y:00 SR:2F SP:FB CYC:432
C8B8  EA                  A:00 X:00 Y:00 SR:2F SP:FB CYC:435
C8B9  18                  A:00 X:00 Y:00 SR:2F SP:FB CYC:437
C8BA  24 01               A:00 X:00 Y:00 SR:2E SP:FB CYC:439
C8BC  A9 55               A:00 X:00 Y:00 SR:EE SP:FB CYC:442
C8BE  29 AA               A:55 X:00 Y:00 SR:6C SP:FB CYC:444
C8C0  D0 09               A:00 X:00 Y:00 SR:6E SP:FB CYC:446
C8C2  50 07               A:00 X:00 Y:00 SR:6E SP:FB CYC:448
C8C4  B0 05               A:00 X:00 Y:00 SR:6E SP:FB CYC:450
C8C6  30 03               A:00 X:00 Y:00 SR:6E SP:FB CYC:452
C8C8  4C CF C8            A:00 X:00 Y:00 SR:6E SP:FB CYC:454
C8CF  EA                  A:00 X:00 Y:00 SR:6E SP:FB CYC:457
C8D0  38                  A:00 X:00 Y:00 SR:6E SP:FB CYC:459
C8D1  B8                  A:00 X:00 Y:00 SR:6F SP:FB CYC:461
C8D2  A9 F8               A:00 X:00 Y:00 SR:2F SP:FB CYC:463
C8D4  29 EF               A:F8 X:00 Y:00 SR:AD SP:FB CYC:465
C8D6  90 0B               A:E8 X:00 Y:00 SR:AD SP:FB CYC:467
C8D8  10 09               A:E8 X:00 Y:00 SR:AD SP:FB CYC:469
C8DA  C9 E8               A:E8 X:00 Y:00 SR:AD SP:FB CYC:471
C8DC  D0 05               A:E8 X:00 Y:00 SR:2F SP:FB CYC:473
C8DE  70 03               A:E8 X:00 Y:00 SR:2F SP:FB CYC:475
C8E0  4C E7 C8            A:E8 X:00 Y:00 SR:2F SP:FB CYC:477
C8E7  EA                  A:E8 X:00 Y:00 SR:2F SP:FB CYC:480
C8E8  18                  A:E8 X:00 Y:00 SR:2F SP:FB CYC:482
C8E9  24 01               A:E8 X:00 Y:00 SR:2E SP:FB CYC:484
C8EB  A9 5F               A:E8 X:00 Y:00 SR:EC SP:FB CYC:487
C8ED  49 AA               A:5F X:00 Y:00 SR:6C SP:FB CYC:489
C8EF  B0 0B               A:F5 X:00 Y:00 SR:EC SP:FB CYC:491
C8F1  10 09               A:F5 X:00 Y:00 SR:EC SP:FB CYC:493
C8F3  C9 F5               A:F5 X:00 Y:00 SR:EC SP:FB CYC:495
C8F5  D0 05               A:F5 X:00 Y:00 SR:6F SP:FB CYC:497
C8F7  50 03               A:F5 X:00 Y:00 SR:6F SP:FB CYC:499
C8F9  4C 00 C9            A:F5 X:00 Y:00 SR:6F SP:FB CYC:501
C900  EA                  A:F5 X:00 Y:00 SR:6F SP:FB CYC:504
C901  38                  A:F5 X:00 Y:00 SR:6F SP:FB CYC:506
C902  B8                  A:F5 X:00 Y:00 SR:6F SP:FB CYC:508
C903  A9 70               A:F5 X:00 Y:00 SR:2F SP:FB CYC:510
C905  49 70               A:70 X:00 Y:00 SR:2D SP:FB CYC:512
C907  D0 09               A:00 X:00 Y:00 SR:2F SP:FB CYC:514
C909  70 07               A:00 X:00 Y:00 SR:2F SP:FB CYC:516
C90B  90 05               A:00 X:00 Y:00 SR:2F SP:FB CYC:518
C90D  30 03               A:00 X:00 Y:00 SR:2F SP:FB CYC:520
C90F  4C 16 C9            A:00 X:00 Y:00 SR:2F SP:FB CYC:522
C916  EA                  A:00 X:00 Y:00 SR:2F SP:FB CYC:525
C917  18                  A:00 X:00 Y:00 SR:2F SP:FB CYC:527
C918  24 01               A:00 X:00 Y:00 SR:2E SP:FB CYC:529
C91A  A9 00               A:00 X:00 Y:00 SR:EE SP:FB CYC:532
C91C  69 69               A:00 X:00 Y:00 SR:6E SP:FB CYC:534
C91E  30 0B               A:69 X:00 Y:00 SR:2C SP:FB CYC:536
C920  B0 09               A:69 X:00 Y:00 SR:2C SP:FB CYC:538
C922  C9 69               A:69 X:00 Y:00 SR:2C SP:FB CYC:540
C924  D0 05               A:69 X:00 Y:00 SR:2F SP:FB CYC:542
C926  70 03               A:69 X:00 Y:00 SR:2F SP:FB CYC:544
